Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna
GOOG,2026-02-08,2026-02-13,,317.5,0.656,0.024,-0.493,0.152,689.0,259.0,0.373,,-0.342,0.024,-0.455,0.152,531.0,728.0,0.366,
GOOG,2026-02-08,2026-02-13,,320.0,0.595,0.026,-0.507,0.16,962.0,1529.0,0.366,,-0.404,0.026,-0.468,0.16,1011.0,2876.0,0.358,
GOOG,2026-02-08,2026-02-13,,322.5,0.53,0.026,-0.515,0.165,411.0,3515.0,0.364,,-0.471,0.027,-0.476,0.165,6176.0,2392.0,0.356,
GOOG,2026-02-08,2026-02-13,,325.0,0.463,0.027,-0.507,0.165,1219.0,6688.0,0.36,,-0.539,0.027,-0.468,0.164,3922.0,2205.0,0.352,
GOOG,2026-02-08,2026-02-13,,327.5,0.396,0.026,-0.483,0.16,549.0,3022.0,0.355,,-0.607,0.027,-0.448,0.159,395.0,1097.0,0.349,
GOOG,2026-02-08,2026-02-13,,330.0,0.334,0.025,-0.455,0.151,1668.0,6960.0,0.355,,-0.671,0.025,-0.417,0.15,6064.0,901.0,0.348,
GOOG,2026-02-08,2026-02-13,,332.5,0.275,0.023,-0.416,0.138,905.0,1085.0,0.354,,-0.73,0.023,-0.38,0.137,361.0,146.0,0.349,
GOOG,2026-02-08,2026-02-13,,335.0,0.222,0.02,-0.369,0.123,2402.0,14264.0,0.353,,-0.781,0.022,-0.338,0.122,1433.0,297.0,0.351,
GOOG,2026-02-08,2026-02-13,,337.5,0.178,0.018,-0.324,0.108,855.0,4459.0,0.355,,-0.834,0.018,-0.275,0.103,305.0,132.0,0.342,
GOOG,2026-02-08,2026-02-13,,340.0,0.141,0.015,-0.28,0.093,3939.0,9143.0,0.358,,-0.881,0.015,-0.208,0.082,904.0,192.0,0.332,
GOOG,2026-02-08,2026-02-13,,342.5,0.114,0.013,-0.246,0.08,587.0,579.0,0.366,,-0.858,0.013,-0.302,0.093,331.0,38.0,0.415,
GOOG,2026-02-08,2026-02-13,,345.0,0.09,0.01,-0.211,0.067,1278.0,1480.0,0.372,,-0.899,0.011,-0.22,0.073,955.0,35.0,0.394,
GOOG,2026-02-08,2026-02-13,,347.5,0.071,0.009,-0.178,0.056,548.0,390.0,0.377,,-0.93,0.009,-0.158,0.055,390.0,39.0,0.382,
GOOG,2026-02-08,2026-02-13,,350.0,0.056,0.007,-0.15,0.047,4174.0,8065.0,0.383,,0.0,0.0,0.0,0.0,535.0,25.0,0.0,
GOOG,2026-02-08,2026-02-13,,352.5,0.044,0.006,-0.128,0.039,497.0,609.0,0.391,,0.0,0.0,0.0,0.0,148.0,0.0,0.0,
GOOG,2026-02-08,2026-02-13,,355.0,0.034,0.005,-0.106,0.032,3308.0,3522.0,0.396,,0.0,0.0,0.0,0.0,57.0,0.0,0.0,
GOOG,2026-02-08,2026-02-13,,357.5,0.027,0.004,-0.088,0.026,510.0,189.0,0.402,,0.0,0.0,0.0,0.0,65.0,0.0,0.0,
GOOG,2026-02-08,2026-02-13,,360.0,0.021,0.003,-0.072,0.021,2682.0,1673.0,0.408,,0.0,0.0,0.0,0.0,46.0,11.0,0.0,
GOOG,2026-02-08,2026-02-13,,362.5,0.019,0.003,-0.069,0.019,318.0,66.0,0.425,,0.0,0.0,0.0,0.0,32.0,0.0,0.0,
GOOG,2026-02-08,2026-02-13,,365.0,0.016,0.002,-0.06,0.016,1160.0,630.0,0.435,,0.0,0.0,0.0,0.0,65.0,0.0,0.0,
GOOG,2026-02-08,2026-02-13,,367.5,0.012,0.002,-0.046,0.012,209.0,140.0,0.434,,0.0,0.0,0.0,0.0,10.0,50.0,0.0,
GOOG,2026-02-08,2026-02-13,,370.0,0.01,0.001,-0.04,0.011,1150.0,1711.0,0.445,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
GOOG,2026-02-08,2026-02-13,,372.5,0.009,0.001,-0.041,0.01,212.0,1.0,0.465,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
