Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna
TSLA,2026-01-31,2026-02-02,,417.5,0.859,0.018,-0.731,0.071,558.0,1157.0,0.39,,-0.153,0.018,-0.768,0.075,1558.0,10437.0,0.411,
TSLA,2026-01-31,2026-02-02,,420.0,0.794,0.022,-0.974,0.091,2150.0,18230.0,0.415,,-0.201,0.022,-0.898,0.09,1973.0,12613.0,0.405,
TSLA,2026-01-31,2026-02-02,,422.5,0.739,0.025,-1.082,0.104,907.0,3616.0,0.406,,-0.26,0.025,-1.028,0.103,829.0,7088.0,0.402,
TSLA,2026-01-31,2026-02-02,,425.0,0.675,0.028,-1.163,0.115,1453.0,11285.0,0.396,,-0.327,0.028,-1.132,0.115,1045.0,20117.0,0.399,
TSLA,2026-01-31,2026-02-02,,427.5,0.599,0.03,-1.256,0.123,800.0,7599.0,0.4,,-0.401,0.03,-1.213,0.123,224.0,7707.0,0.399,
TSLA,2026-01-31,2026-02-02,,430.0,0.521,0.031,-1.295,0.127,2662.0,23063.0,0.401,,-0.479,0.032,-1.24,0.127,1277.0,29330.0,0.397,
TSLA,2026-01-31,2026-02-02,,432.5,0.443,0.031,-1.262,0.126,1024.0,10894.0,0.395,,-0.558,0.031,-1.23,0.126,406.0,16500.0,0.398,
TSLA,2026-01-31,2026-02-02,,435.0,0.369,0.029,-1.224,0.12,2948.0,31971.0,0.402,,-0.632,0.03,-1.181,0.12,2201.0,27471.0,0.401,
TSLA,2026-01-31,2026-02-02,,437.5,0.299,0.027,-1.128,0.111,937.0,17386.0,0.403,,-0.7,0.027,-1.1,0.111,291.0,5779.0,0.406,
TSLA,2026-01-31,2026-02-02,,440.0,0.239,0.024,-1.013,0.099,3527.0,40592.0,0.406,,-0.767,0.024,-0.943,0.097,580.0,14387.0,0.398,
TSLA,2026-01-31,2026-02-02,,442.5,0.188,0.02,-0.895,0.086,622.0,9675.0,0.413,,-0.841,0.021,-0.684,0.077,94.0,2234.0,0.369,
TSLA,2026-01-31,2026-02-02,,445.0,0.146,0.017,-0.77,0.073,1850.0,12768.0,0.419,,-0.87,0.017,-0.636,0.067,831.0,3185.0,0.395,
TSLA,2026-01-31,2026-02-02,,447.5,0.113,0.014,-0.658,0.061,724.0,7876.0,0.427,,-0.916,0.013,-0.44,0.049,132.0,457.0,0.38,
TSLA,2026-01-31,2026-02-02,,450.0,0.086,0.011,-0.546,0.05,3389.0,27215.0,0.434,,-0.922,0.011,-0.458,0.046,720.0,13273.0,0.42,
TSLA,2026-01-31,2026-02-02,,452.5,0.066,0.009,-0.453,0.041,324.0,4384.0,0.442,,-0.952,0.008,-0.296,0.032,78.0,76.0,0.406,
TSLA,2026-01-31,2026-02-02,,455.0,0.051,0.007,-0.38,0.033,1112.0,8642.0,0.453,,-0.985,0.003,-0.091,0.012,116.0,306.0,0.358,
TSLA,2026-01-31,2026-02-02,,457.5,0.039,0.006,-0.314,0.027,411.0,2499.0,0.463,,-0.942,0.007,-0.457,0.037,144.0,166.0,0.522,
TSLA,2026-01-31,2026-02-02,,460.0,0.032,0.005,-0.277,0.023,2162.0,10579.0,0.48,,-0.945,0.006,-0.468,0.036,52.0,113.0,0.558,
TSLA,2026-01-31,2026-02-02,,462.5,0.026,0.004,-0.234,0.019,245.0,1923.0,0.492,,-0.983,0.004,-0.138,0.013,5.0,6.0,0.467,
TSLA,2026-01-31,2026-02-02,,465.0,0.02,0.003,-0.2,0.016,777.0,1573.0,0.505,,-0.988,0.002,-0.098,0.01,31.0,599.0,0.474,
TSLA,2026-01-31,2026-02-02,,467.5,0.016,0.002,-0.161,0.012,293.0,672.0,0.513,,-0.981,0.004,-0.181,0.015,0.0,0.0,0.544,
TSLA,2026-01-31,2026-02-02,,470.0,0.012,0.002,-0.133,0.01,2023.0,3431.0,0.523,,-0.995,0.001,-0.048,0.005,13.0,25.0,0.492,
TSLA,2026-01-31,2026-02-02,,472.5,0.012,0.002,-0.135,0.01,385.0,846.0,0.55,,-0.995,0.001,-0.049,0.004,0.0,0.0,0.518,
TSLA,2026-01-31,2026-02-02,,475.0,0.009,0.001,-0.103,0.007,1172.0,2291.0,0.553,,-0.986,0.002,-0.148,0.011,1.0,1.0,0.61,
TSLA,2026-01-31,2026-02-02,,477.5,0.007,0.001,-0.087,0.006,135.0,658.0,0.564,,-0.995,0.001,-0.05,0.004,0.0,2.0,0.569,
TSLA,2026-01-31,2026-02-02,,480.0,0.007,0.001,-0.088,0.006,935.0,1444.0,0.589,,0.0,0.0,0.0,0.0,3.0,66.0,0.0,
