Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna
$SPX,2026-01-31,2026-02-02,,6990.0,0.167,0.005,-3.311,1.287,471.0,4875.0,0.099,,-0.781,0.005,-4.357,1.513,427.0,278.0,0.126,
$SPX,2026-01-31,2026-02-02,,6995.0,0.138,0.004,-2.85,1.135,1376.0,4163.0,0.097,,-0.805,0.004,-4.009,1.41,90.0,56.0,0.125,
$SPX,2026-01-31,2026-02-02,,7000.0,0.109,0.004,-2.307,0.957,3470.0,9162.0,0.093,,-0.822,0.004,-3.841,1.334,831.0,259.0,0.127,
$SPX,2026-01-31,2026-02-02,,7005.0,0.086,0.003,-1.901,0.806,398.0,3806.0,0.091,,-0.879,0.004,-2.44,1.026,88.0,111.0,0.11,
$SPX,2026-01-31,2026-02-02,,7010.0,0.07,0.003,-1.623,0.691,966.0,5487.0,0.091,,-0.897,0.004,-2.136,0.912,42.0,103.0,0.11,
$SPX,2026-01-31,2026-02-02,,7015.0,0.054,0.002,-1.3,0.563,376.0,3508.0,0.09,,-0.863,0.004,-3.36,1.119,35.0,49.0,0.134,
$SPX,2026-01-31,2026-02-02,,7020.0,0.041,0.002,-1.023,0.451,496.0,5815.0,0.088,,-0.877,0.003,-3.158,1.041,314.0,78.0,0.136,
$SPX,2026-01-31,2026-02-02,,7025.0,0.032,0.002,-0.84,0.37,1485.0,4979.0,0.088,,-0.884,0.003,-3.098,0.995,327.0,57.0,0.14,
$SPX,2026-01-31,2026-02-02,,7030.0,0.028,0.001,-0.768,0.331,1800.0,3858.0,0.091,,-0.888,0.003,-3.154,0.972,58.0,14.0,0.146,
$SPX,2026-01-31,2026-02-02,,7035.0,0.018,0.001,-0.519,0.232,402.0,3445.0,0.087,,-0.893,0.002,-3.144,0.94,4.0,25.0,0.15,
