Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,19.65,18.40,19.60,+9.15,382,318,40.45%,02/06/26,392.50,Put,0.32,0.32,0.34,-5.08,"3,592",753,40.68%,02/06/26
Call,17.08,16.25,16.95,+8.23,"1,407",798,38.48%,02/06/26,395.00,Put,0.47,0.46,0.48,-5.93,"6,002","1,512",39.76%,02/06/26
Call,14.53,13.95,14.50,+6.98,"1,065",584,36.26%,02/06/26,397.50,Put,0.67,0.67,0.69,-6.88,"5,686",947,38.62%,02/06/26
Call,12.30,11.85,12.35,+6.02,"10,973","1,876",39.66%,02/06/26,400.00,Put,1.00,0.97,1.00,-7.90,"28,777","2,335",38.19%,02/06/26
Call,10.20,9.95,10.10,+5.17,"2,980",480,36.41%,02/06/26,402.50,Put,1.38,1.41,1.45,-8.72,"5,230",903,37.47%,02/06/26
Call,8.40,8.05,8.20,+4.15,"13,929",838,36.07%,02/06/26,405.00,Put,2.04,2.02,2.06,-9.61,"16,507","1,235",37.08%,02/06/26
Call,6.76,6.40,6.50,+3.48,"10,670","1,325",36.06%,02/06/26,407.50,Put,2.79,2.84,2.87,-10.85,"6,517",341,36.88%,02/06/26
Call,5.05,4.95,5.05,+2.44,"17,958","1,677",36.53%,02/06/26,410.00,Put,3.88,3.85,3.95,-11.22,"22,227",522,36.68%,02/06/26
Call,3.85,3.75,3.80,+1.83,"14,693",658,36.17%,02/06/26,412.50,Put,5.15,5.10,5.25,-12.15,"15,798",536,36.68%,02/06/26
Call,2.81,2.78,2.83,+1.13,"27,276","1,628",36.55%,02/06/26,415.00,Put,6.50,6.65,6.75,-12.94,"8,468","1,233",37.20%,02/06/26
Call,2.06,2.03,2.06,+0.76,"8,170",784,37.05%,02/06/26,417.50,Put,8.06,8.40,8.55,-15.90,"1,428",742,37.99%,02/06/26
Call,1.47,1.46,1.49,+0.45,"19,952","4,620",37.42%,02/06/26,420.00,Put,10.30,10.30,10.45,-13.15,"11,013","2,108",37.54%,02/06/26
Call,1.09,1.05,1.07,+0.28,"8,422","1,927",38.20%,02/06/26,422.50,Put,12.36,11.90,13.00,-13.32,"1,950","1,708",37.93%,02/06/26
Call,0.75,0.74,0.75,+0.12,"18,380","2,958",38.87%,02/06/26,425.00,Put,14.65,14.10,15.10,-16.36,900,567,40.05%,02/06/26
Call,0.52,0.52,0.54,+0.04,"7,149",735,39.44%,02/06/26,427.50,Put,14.14,16.20,17.55,-13.61,342,433,39.99%,02/06/26
Call,0.38,0.37,0.38,-0.02,"13,077","7,212",40.59%,02/06/26,430.00,Put,19.10,18.60,19.95,-16.30,"1,198",470,37.57%,02/06/26
Call,0.27,0.26,0.27,-0.04,"4,571","1,008",41.47%,02/06/26,432.50,Put,19.90,21.00,22.25,-17.97,17,175,42.16%,02/06/26
Call,0.19,0.18,0.19,-0.06,"4,224","1,701",42.29%,02/06/26,435.00,Put,22.04,23.50,24.60,-18.08,273,294,43.22%,02/06/26
Call,0.13,0.12,0.13,-0.07,"3,253",756,42.91%,02/06/26,437.50,Put,25.47,25.50,26.95,-17.48,5,65,0.00%,02/06/26
Call,0.09,0.09,0.10,-0.08,"3,110","3,644",43.65%,02/06/26,440.00,Put,26.70,28.40,29.05,-16.10,67,52,0.00%,02/06/26
Call,0.07,0.06,0.07,-0.06,337,837,45.09%,02/06/26,442.50,Put,48.56,30.45,32.10,unch,0,7,0.00%,02/05/26
Call,0.06,0.05,0.06,-0.04,"1,630","1,099",47.06%,02/06/26,445.00,Put,47.66,32.95,34.60,unch,0,2,0.00%,02/05/26
Call,0.05,0.03,0.05,-0.05,132,586,48.78%,02/06/26,447.50,Put,50.40,35.45,37.15,unch,0,0,0.00%,02/05/26
Call,0.04,0.03,0.04,-0.05,"1,382","5,218",50.18%,02/06/26,450.00,Put,39.20,38.45,39.45,-19.50,143,2,70.00%,02/06/26
Call,0.02,0.02,0.03,-0.04,215,246,48.93%,02/06/26,452.50,Put,55.56,40.45,42.15,unch,0,1,0.00%,02/05/26
Call,0.03,0.02,0.03,-0.04,124,295,53.73%,02/06/26,455.00,Put,57.84,42.95,44.65,unch,0,0,0.00%,02/05/26
Call,0.01,0.01,0.03,-0.04,205,253,50.36%,02/06/26,457.50,Put,61.50,45.20,47.65,unch,0,0,62.86%,02/05/26
Call,0.02,0.01,0.02,-0.02,494,954,56.35%,02/06/26,460.00,Put,61.60,47.60,50.15,unch,0,0,0.00%,02/05/26
"Downloaded from Barchart.com as of 02-08-2026 01:02pm CST"
