Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,10.00,9.30,9.70,+6.79,"3,950",200,8.88%,02/06/26,"6,955.00",Put,40.00,35.60,41.30,-114.40,"3,464",180,13.62%,02/06/26
Call,8.12,7.60,7.90,+5.32,"5,484",600,8.74%,02/06/26,"6,960.00",Put,42.90,40.90,42.30,-108.30,297,337,12.78%,02/06/26
Call,6.70,6.10,6.30,+4.35,"3,238",827,8.58%,02/06/26,"6,965.00",Put,47.02,44.50,45.80,-122.23,42,302,12.88%,02/06/26
Call,5.32,4.80,5.10,+3.26,"5,440",982,8.48%,02/06/26,"6,970.00",Put,49.03,48.10,49.50,-120.97,169,556,13.10%,02/06/26
Call,4.20,3.70,3.90,+2.89,"7,553",598,8.31%,02/06/26,"6,975.00",Put,54.67,52.10,53.40,-123.81,58,217,13.16%,02/06/26
Call,3.21,2.90,3.10,+1.66,"6,519",694,8.27%,02/06/26,"6,980.00",Put,56.25,56.20,57.60,-140.96,95,207,13.02%,02/06/26
Call,2.36,2.15,2.30,+1.11,"4,555",476,8.12%,02/06/26,"6,985.00",Put,59.56,58.50,64.20,-137.24,50,158,12.65%,02/06/26
Call,1.80,1.55,1.75,+0.82,"7,634",742,8.03%,02/06/26,"6,990.00",Put,49.40,64.80,66.20,-157.49,44,240,13.99%,02/06/26
Call,1.28,1.10,1.30,+0.43,"4,350",901,8.05%,02/06/26,"6,995.00",Put,66.70,67.40,73.10,-138.79,39,97,14.52%,02/06/26
Call,0.94,0.80,1.00,+0.42,"20,204","2,319",8.00%,02/06/26,"7,000.00",Put,75.20,74.10,75.50,-123.32,218,"1,038",15.17%,02/06/26
Call,0.68,0.60,0.75,+0.14,"7,995",808,7.95%,02/06/26,"7,005.00",Put,196.42,76.80,82.50,unch,0,66,15.45%,02/05/26
Call,0.50,0.45,0.50,+0.06,"13,907",659,7.94%,02/06/26,"7,010.00",Put,84.00,83.60,85.20,-74.63,8,228,15.61%,02/06/26
Call,0.35,0.30,0.40,-0.12,"23,393",894,7.89%,02/06/26,"7,015.00",Put,146.44,88.50,89.90,-73.35,2,221,16.41%,02/06/26
Call,0.25,0.20,0.35,-0.12,"2,191",841,7.89%,02/06/26,"7,020.00",Put,94.50,91.40,97.30,-116.15,19,31,17.28%,02/06/26
Call,0.15,0.15,0.20,-0.15,"3,261","2,579",7.71%,02/06/26,"7,025.00",Put,139.98,96.40,102.10,-64.62,16,139,17.71%,02/06/26
Call,0.14,0.10,0.15,-0.16,"2,620",438,8.01%,02/06/26,"7,030.00",Put,94.00,101.30,107.20,-120.55,120,140,18.34%,02/06/26
"Downloaded from Barchart.com as of 02-08-2026 12:52pm CST"
