Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
6.40,6.40,36.37%,0.5299,0.0264,-0.5147,0.1648,02/06/26,322.50,5.37,5.50,35.57%,-0.4708,0.0271,-0.4758,0.1648,02/06/26
5.14,5.14,35.98%,0.4633,0.0267,-0.5067,0.1646,02/06/26,325.00,6.50,6.75,35.23%,-0.5390,0.0273,-0.4684,0.1644,02/06/26
4.09,4.02,35.45%,0.3964,0.0262,-0.4830,0.1596,02/06/26,327.50,7.85,8.18,34.92%,-0.6068,0.0267,-0.4475,0.1592,02/06/26
3.16,3.16,35.47%,0.3337,0.0248,-0.4551,0.1507,02/06/26,330.00,9.60,9.80,34.83%,-0.6712,0.0252,-0.4174,0.1497,02/06/26
2.43,2.43,35.41%,0.2753,0.0228,-0.4160,0.1383,02/06/26,332.50,10.21,11.60,34.90%,-0.7298,0.0230,-0.3800,0.1369,02/06/26
1.83,1.83,35.29%,0.2223,0.0204,-0.3693,0.1234,02/06/26,335.00,13.24,13.55,35.10%,-0.7814,0.0218,-0.3382,0.1220,02/06/26
1.43,1.39,35.49%,0.1779,0.0177,-0.3242,0.1079,02/06/26,337.50,13.91,15.50,34.21%,-0.8342,0.0178,-0.2746,0.1029,02/06/26
1.08,1.05,35.79%,0.1409,0.0151,-0.2803,0.0926,02/06/26,340.00,18.20,17.57,33.20%,-0.8812,0.0147,-0.2084,0.0820,02/06/26
0.82,0.82,36.58%,0.1135,0.0127,-0.2461,0.0797,02/06/26,342.50,20.50,20.50,41.50%,-0.8577,0.0132,-0.3023,0.0931,02/06/26
0.63,0.63,37.16%,0.0900,0.0105,-0.2109,0.0673,02/06/26,345.00,22.55,22.55,39.42%,-0.8994,0.0110,-0.2202,0.0728,02/06/26
0.48,0.48,37.69%,0.0707,0.0087,-0.1781,0.0560,02/06/26,347.50,24.78,24.78,38.21%,-0.9304,0.0086,-0.1580,0.0550,02/06/26
0.37,0.37,38.33%,0.0558,0.0071,-0.1505,0.0466,02/06/26,350.00,26.35,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/06/26
0.29,0.29,39.09%,0.0444,0.0058,-0.1279,0.0389,02/06/26,352.50,29.95,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/05/26
0.22,0.22,39.60%,0.0345,0.0047,-0.1055,0.0317,02/06/26,355.00,32.99,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/05/26
0.19,0.17,40.24%,0.0272,0.0038,-0.0878,0.0259,02/06/26,357.50,31.80,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/05/26
0.13,0.13,40.80%,0.0212,0.0030,-0.0721,0.0210,02/06/26,360.00,35.80,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/06/26
0.12,0.12,42.49%,0.0190,0.0026,-0.0686,0.0192,02/06/26,362.50,34.35,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/05/26
0.10,0.10,43.49%,0.0158,0.0022,-0.0600,0.0164,02/06/26,365.00,33.90,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/05/26
0.07,0.07,43.44%,0.0115,0.0017,-0.0455,0.0125,02/06/26,367.50,46.20,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/06/26
0.06,0.06,44.54%,0.0098,0.0014,-0.0405,0.0108,02/06/26,370.00,44.55,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/05/26
0.06,0.06,46.46%,0.0094,0.0013,-0.0409,0.0105,02/06/26,372.50,30.25,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,02/03/26
"Downloaded from Barchart.com as of 02-08-2026 01:15pm CST"
