Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,1.08,1.02,1.07,-3.37,"9,143","3,939",35.79%,02/06/26,340.00,Put,18.20,17.10,18.05,+5.65,192,904,33.20%,02/06/26
Call,0.82,0.77,0.82,-2.93,579,587,36.58%,02/06/26,342.50,Put,20.50,18.65,20.50,+6.20,38,331,41.50%,02/06/26
Call,0.63,0.58,0.63,-2.40,"1,480","1,278",37.16%,02/06/26,345.00,Put,22.55,21.15,23.65,+6.14,35,955,39.42%,02/06/26
Call,0.48,0.45,0.48,-2.06,390,548,37.69%,02/06/26,347.50,Put,24.78,22.65,25.75,+6.08,39,390,38.21%,02/06/26
Call,0.37,0.35,0.37,-1.69,"8,065","4,174",38.33%,02/06/26,350.00,Put,26.35,25.05,28.35,+6.85,25,535,0.00%,02/06/26
Call,0.29,0.26,0.29,-1.39,609,497,39.09%,02/06/26,352.50,Put,29.95,27.75,30.50,unch,0,148,0.00%,02/05/26
Call,0.22,0.22,0.23,-1.12,"3,522","3,308",39.60%,02/06/26,355.00,Put,32.99,29.85,33.00,unch,0,57,0.00%,02/05/26
Call,0.19,0.16,0.18,-0.92,189,510,40.24%,02/06/26,357.50,Put,31.80,32.80,35.50,unch,0,65,0.00%,02/05/26
Call,0.13,0.12,0.14,-0.72,"1,673","2,682",40.80%,02/06/26,360.00,Put,35.80,34.80,38.00,-2.51,11,46,0.00%,02/06/26
Call,0.12,0.10,0.12,-0.59,66,318,42.49%,02/06/26,362.50,Put,34.35,37.35,40.15,unch,0,32,0.00%,02/05/26
Call,0.10,0.09,0.10,-0.51,630,"1,160",43.49%,02/06/26,365.00,Put,33.90,40.10,43.00,unch,0,65,0.00%,02/05/26
Call,0.07,0.06,0.08,-0.37,140,209,43.44%,02/06/26,367.50,Put,46.20,42.35,45.80,unch,50,10,0.00%,02/06/26
Call,0.06,0.05,0.06,-0.31,"1,711","1,150",44.54%,02/06/26,370.00,Put,44.55,44.75,48.30,unch,0,1,0.00%,02/05/26
Call,0.06,0.04,0.06,-0.27,1,212,46.46%,02/06/26,372.50,Put,30.25,47.35,50.80,unch,0,2,0.00%,02/03/26
"Downloaded from Barchart.com as of 02-08-2026 01:15pm CST"
