Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
56.30,54.75,12.72%,0.7587,0.0048,-5.6115,1.6015,01/30/26,"6,895.00",13.20,13.55,15.22%,-0.2789,0.0043,-6.3897,1.7255,01/30/26
52.80,51.10,12.76%,0.7334,0.0050,-5.8843,1.6874,01/30/26,"6,900.00",14.10,14.70,15.04%,-0.2988,0.0045,-6.5155,1.7825,01/30/26
48.20,47.35,12.66%,0.7090,0.0053,-6.0618,1.7610,01/30/26,"6,905.00",15.40,15.95,14.87%,-0.3199,0.0047,-6.6257,1.8365,01/30/26
44.95,43.70,12.56%,0.6833,0.0055,-6.2114,1.8287,01/30/26,"6,910.00",16.46,17.35,14.72%,-0.3424,0.0049,-6.7306,1.8868,01/30/26
41.40,40.20,12.47%,0.6562,0.0057,-6.3426,1.8900,01/30/26,"6,915.00",17.83,18.85,14.57%,-0.3659,0.0050,-6.8093,1.9319,01/30/26
38.20,36.75,12.34%,0.6282,0.0060,-6.4218,1.9423,01/30/26,"6,920.00",19.73,20.35,14.36%,-0.3900,0.0052,-6.8319,1.9703,01/30/26
34.68,33.45,12.21%,0.5989,0.0062,-6.4728,1.9858,01/30/26,"6,925.00",21.22,22.05,14.19%,-0.4155,0.0054,-6.8499,2.0024,01/30/26
31.22,30.30,12.09%,0.5684,0.0063,-6.4903,2.0189,01/30/26,"6,930.00",22.80,23.95,14.06%,-0.4420,0.0055,-6.8554,2.0269,01/30/26
28.36,27.25,11.94%,0.5370,0.0065,-6.4571,2.0403,01/30/26,"6,935.00",24.85,25.90,13.89%,-0.4693,0.0056,-6.8076,2.0425,01/30/26
25.00,24.35,11.78%,0.5045,0.0066,-6.3821,2.0489,01/30/26,"6,940.00",26.80,28.00,13.72%,-0.4974,0.0057,-6.7292,2.0484,01/30/26
22.54,21.65,11.65%,0.4712,0.0067,-6.2745,2.0437,01/30/26,"6,945.00",28.80,30.25,13.56%,-0.5261,0.0058,-6.6169,2.0441,01/30/26
19.65,19.05,11.48%,0.4371,0.0067,-6.1065,2.0236,01/30/26,"6,950.00",31.37,32.65,13.40%,-0.5556,0.0058,-6.4712,2.0277,01/30/26
17.67,16.55,11.27%,0.4022,0.0067,-5.8748,1.9872,01/30/26,"6,955.00",33.80,35.20,13.24%,-0.5852,0.0058,-6.2859,2.0007,01/30/26
14.86,14.30,11.09%,0.3673,0.0066,-5.6181,1.9346,01/30/26,"6,960.00",36.26,37.90,13.08%,-0.6152,0.0057,-6.0636,1.9613,01/30/26
12.62,12.20,10.90%,0.3320,0.0065,-5.3100,1.8647,01/30/26,"6,965.00",40.68,40.68,12.88%,-0.6456,0.0057,-5.7832,1.9094,01/30/26
10.70,10.25,10.68%,0.2967,0.0063,-4.9507,1.7769,01/30/26,"6,970.00",42.65,43.95,12.86%,-0.6740,0.0055,-5.5683,1.8489,01/30/26
8.80,8.50,10.47%,0.2619,0.0061,-4.5586,1.6723,01/30/26,"6,975.00",45.60,47.20,12.74%,-0.7026,0.0053,-5.2738,1.7766,01/30/26
7.28,7.00,10.30%,0.2289,0.0057,-4.1607,1.5553,01/30/26,"6,980.00",52.00,52.00,13.45%,-0.7177,0.0050,-5.4350,1.7337,01/30/26
5.70,5.70,10.13%,0.1976,0.0053,-3.7514,1.4275,01/30/26,"6,985.00",53.51,54.25,12.58%,-0.7570,0.0049,-4.6492,1.6038,01/30/26
4.53,4.53,9.93%,0.1674,0.0049,-3.3106,1.2868,01/30/26,"6,990.00",56.39,58.10,12.57%,-0.7810,0.0046,-4.3568,1.5130,01/30/26
3.50,3.50,9.71%,0.1385,0.0044,-2.8498,1.1351,01/30/26,"6,995.00",61.97,61.97,12.50%,-0.8053,0.0044,-4.0090,1.4098,01/30/26
2.66,2.50,9.33%,0.1086,0.0039,-2.3074,0.9569,01/30/26,"7,000.00",64.80,66.35,12.72%,-0.8219,0.0041,-3.8410,1.3341,01/30/26
2.00,1.85,9.14%,0.0860,0.0033,-1.9011,0.8062,01/30/26,"7,005.00",68.56,68.56,10.99%,-0.8791,0.0037,-2.4404,1.0255,01/30/26
1.45,1.45,9.12%,0.0701,0.0029,-1.6227,0.6907,01/30/26,"7,010.00",73.00,73.00,10.98%,-0.8973,0.0038,-2.1364,0.9120,01/30/26
1.05,1.05,8.97%,0.0540,0.0024,-1.2996,0.5632,01/30/26,"7,015.00",74.74,79.90,13.42%,-0.8632,0.0036,-3.3605,1.1192,01/30/26
0.75,0.75,8.83%,0.0409,0.0019,-1.0233,0.4506,01/30/26,"7,020.00",81.82,84.45,13.60%,-0.8766,0.0030,-3.1580,1.0406,01/30/26
0.57,0.57,8.83%,0.0322,0.0016,-0.8401,0.3704,01/30/26,"7,025.00",86.62,89.25,13.98%,-0.8842,0.0028,-3.0979,0.9951,01/30/26
0.50,0.50,9.05%,0.0281,0.0014,-0.7679,0.3307,01/30/26,"7,030.00",103.80,94.25,14.55%,-0.8880,0.0026,-3.1543,0.9718,01/30/26
0.30,0.30,8.74%,0.0184,0.0010,-0.5193,0.2318,01/30/26,"7,035.00",106.76,99.15,15.01%,-0.8931,0.0024,-3.1442,0.9395,01/30/26
"Downloaded from Barchart.com as of 01-31-2026 03:06pm CST"
