Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
0.24,0.24,74.42%,0.2102,0.1367,-0.0511,0.0082,12/19/25,24.00,2.20,2.20,84.07%,-0.7594,0.1310,-0.0603,0.0088,12/19/25
0.20,0.20,79.91%,0.1724,0.1127,-0.0486,0.0072,12/19/25,24.50,3.01,3.01,129.27%,-0.7035,0.0945,-0.1041,0.0098,12/19/25
0.13,0.13,78.73%,0.1229,0.0911,-0.0381,0.0058,12/19/25,25.00,3.10,3.10,92.98%,-0.8340,0.0950,-0.0531,0.0071,12/19/25
0.10,0.10,81.64%,0.0960,0.0736,-0.0330,0.0048,12/19/25,25.50,3.67,3.67,112.41%,-0.8204,0.0825,-0.0679,0.0074,12/19/25
0.08,0.08,85.06%,0.0769,0.0598,-0.0292,0.0041,12/19/25,26.00,4.03,4.03,99.93%,-0.8855,0.0688,-0.0440,0.0055,12/19/25
0.06,0.06,86.99%,0.0591,0.0477,-0.0243,0.0033,12/19/25,26.50,0.00,4.53,107.19%,-0.8946,0.0604,-0.0445,0.0052,N/A
0.05,0.05,90.60%,0.0488,0.0394,-0.0217,0.0029,12/19/25,27.00,5.80,5.02,115.07%,-0.9003,0.0540,-0.0459,0.0050,12/17/25
0.04,0.04,93.24%,0.0392,0.0321,-0.0188,0.0024,12/19/25,27.50,0.00,5.53,122.66%,-0.9051,0.0489,-0.0472,0.0048,N/A
0.03,0.03,94.68%,0.0301,0.0254,-0.0153,0.0019,12/19/25,28.00,5.90,5.90,87.64%,-0.9822,0.0182,-0.0079,0.0012,12/19/25
0.05,0.10,132.13%,0.0651,0.0339,-0.0398,0.0036,12/18/25,29.00,0.00,6.98,131.25%,-0.9376,0.0333,-0.0363,0.0035,N/A
0.01,0.01,100.41%,0.0107,0.0099,-0.0067,0.0008,12/19/25,30.00,7.40,7.98,143.75%,-0.9419,0.0288,-0.0376,0.0033,12/17/25
0.00,0.12,162.31%,0.0646,0.0274,-0.0485,0.0036,N/A,31.00,0.00,8.97,155.61%,-0.9454,0.0253,-0.0388,0.0031,N/A
0.00,0.16,184.58%,0.0747,0.0270,-0.0617,0.0040,N/A,32.00,0.00,9.98,166.91%,-0.9483,0.0226,-0.0399,0.0030,N/A
0.00,0.29,224.54%,0.1065,0.0289,-0.0977,0.0052,N/A,33.00,10.50,10.98,177.70%,-0.9507,0.0204,-0.0408,0.0029,12/18/25
0.00,0.33,243.94%,0.1117,0.0275,-0.1097,0.0054,N/A,34.00,0.00,11.98,188.03%,-0.9528,0.0187,-0.0418,0.0028,N/A
0.02,0.01,142.75%,0.0079,0.0053,-0.0073,0.0006,12/18/25,35.00,0.00,12.98,197.95%,-0.9546,0.0172,-0.0426,0.0027,N/A
"Downloaded from Barchart.com as of 12-20-2025 10:10pm CST"
