Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Latest,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,2.60,2.30,3.10,-3.60,"4,525","5,163",9.39%,12/18/25,"6,810.00",Call,8.20,7.00,7.30,+1.10,513,858,13.93%,12/19/25
Call,2.00,2.00,2.35,-3.30,"2,708","4,288",9.48%,12/18/25,"6,815.00",Call,6.70,5.80,6.10,+0.80,329,518,13.86%,12/19/25
Call,1.57,1.30,1.85,-2.73,"4,244","8,968",9.65%,12/18/25,"6,820.00",Call,5.40,4.70,5.00,+0.59,659,"1,428",13.74%,12/19/25
Call,1.25,1.00,1.45,-2.35,"10,649","12,449",9.85%,12/18/25,"6,825.00",Call,4.50,3.80,4.10,+0.50,"1,338","2,434",13.77%,12/19/25
Call,1.08,0.70,1.15,-2.22,"6,096","11,312",10.25%,12/18/25,"6,830.00",Call,3.50,3.10,3.30,+0.25,"1,964","1,223",13.73%,12/19/25
Call,0.72,0.50,1.00,-2.03,"4,919","11,131",10.06%,12/18/25,"6,835.00",Call,2.75,2.50,2.65,+0.10,"1,409",546,13.74%,12/19/25
Call,0.62,0.40,0.85,-1.73,"4,883","11,089",10.43%,12/18/25,"6,840.00",Call,2.20,1.95,2.15,+0.15,"1,250",836,13.58%,12/19/25
Call,0.55,0.25,0.65,-1.45,"4,545","7,024",10.83%,12/18/25,"6,845.00",Call,1.70,1.55,1.70,unch,734,853,13.71%,12/19/25
Call,0.37,0.20,0.40,-1.23,"24,714","49,770",10.72%,12/18/25,"6,850.00",Call,1.30,1.20,1.35,+0.05,"1,682","9,867",13.47%,12/19/25
Call,0.40,0.10,0.55,-0.85,"1,904","9,884",11.46%,12/18/25,"6,855.00",Call,1.00,0.95,1.10,-0.04,559,658,13.64%,12/19/25
Call,0.30,0.15,0.40,-0.95,"3,027","8,985",11.52%,12/18/25,"6,860.00",Call,0.75,0.80,0.90,unch,"1,065","1,268",13.76%,12/19/25
Call,0.30,0.05,0.40,-0.82,"2,219","6,879",12.09%,12/18/25,"6,865.00",Call,0.60,0.60,0.70,-0.05,443,980,13.72%,12/19/25
Call,0.25,0.10,0.40,-0.75,"1,992","8,808",12.33%,12/18/25,"6,870.00",Call,0.45,0.45,0.60,-0.10,650,"1,520",13.93%,12/19/25
"Downloaded from Barchart.com as of 12-19-2025 07:40am CST"
